Date,TSLA,3557.TW,8046.TW,3443.TW
2017/2/9,53.84,7.280769,23.776808,86.125214
2017/2/10,53.846001,7.305746,23.823156,86.406662
2017/2/13,56.119999,null,null,null
2017/2/14,56.195999,7.305746,24.101246,91.003761
2017/2/15,55.952,7.293258,23.730461,91.941948
2017/2/16,53.790001,7.143396,23.545065,92.692497
2017/2/17,54.445999,7.180861,23.498716,96.632866
2017/2/21,55.478001,7.430631,23.359671,95.694687
2017/2/22,54.702,7.280769,23.174274,95.694687
2017/2/23,51.198002,7.330723,23.359671,98.040138
2017/2/24,51.400002,7.293258,23.12793,99.447411
2017/2/27,49.245998,7.51805,23.081579,100.854683
2017/2/28,49.998001,7.867727,23.591413,102.261971
2017/3/1,50.004002,7.630446,23.220625,102.261971
2017/3/2,50.096001,7.680399,22.896187,104.607422
2017/3/3,50.313999,7.742842,23.174274,103.20015
2017/3/6,50.242001,7.055977,22.896187,98.509232
2017/3/7,49.717999,7.305746,23.035231,104.607422
2017/3/8,49.374001,7.243304,22.942533,101.792877
2017/3/9,48.98,7.155885,23.174274,102.261971
2017/3/10,48.737999,6.931093,23.684111,102.261971
2017/3/13,49.234001,6.993535,23.776808,100.854683
2017/3/14,51.599998,6.968557,23.545065,100.854683
2017/3/15,51.146,6.918603,23.637762,99.916504
2017/3/16,52.41,6.86865,23.498716,98.509232
2017/3/17,52.299999,6.931093,24.008549,95.694687
2017/3/20,52.383999,6.968557,24.008549,97.101959
2017/3/21,50.136002,6.981047,23.498716,95.225594
2017/3/22,51.001999,6.881139,23.637762,97.571045
2017/3/23,50.956001,6.918603,23.637762,96.163773
2017/3/24,52.632,6.981047,24.008549,95.225594
2017/3/27,54.043999,7.006023,24.564734,98.040138
2017/3/28,55.490002,6.956069,24.842825,95.225594
2017/3/29,55.476002,6.943581,24.286642,96.632866
2017/3/30,55.584,6.981047,24.379337,93.818314
2017/3/31,55.66,6.843674,24.147596,91.003761
2017/4/3,59.703999,6.656346,24.564734,91.191399
2017/4/4,60.740002,6.806208,27.021206,91.472855
2017/4/5,59,6.7063,24.935522,90.065582
2017/4/6,59.740002,6.618882,24.981871,90.440857
2017/4/7,60.507999,6.656346,24.981871,92.598671
2017/4/10,62.478001,6.618882,24.564734,90.628494
2017/4/11,61.742001,6.693811,23.915855,89.784119
2017/4/12,59.368,6.606392,23.9622,93.724503
2017/4/13,60.799999,6.606392,24.008549,94.756493
2017/4/17,60.287998,6.593904,24.147596,94.756493
2017/4/18,60.049999,6.568928,24.332991,95.225594
2017/4/19,61.104,6.743765,24.193945,99.916504
2017/4/20,60.501999,6.618882,24.518387,98.978325
2017/4/21,61.119999,6.506485,24.425688,95.225594
2017/4/24,61.605999,6.319158,24.564734,96.163773
2017/4/25,62.757999,6.21925,24.703779,96.632866
2017/4/26,62.034,6.081877,24.379337,96.632866
2017/4/27,61.726002,6.281693,24.193945,95.225594
2017/4/28,62.813999,6.21925,23.823156,94.756493
2017/5/1,64.566002,6.094367,24.101246,99.447411
2017/5/2,63.778,6.106854,23.684111,97.571045
2017/5/3,62.203999,6.206762,23.637762,100.385597
2017/5/4,59.091999,6.269204,23.498716,98.040138
2017/5/5,61.669998,6.194274,23.637762,95.694687
2017/5/8,61.438,6.244227,23.313322,92.973946
2017/5/9,64.251999,6.031923,23.081579,94.287399
2017/5/10,65.043999,6.094367,23.220625,93.067764
2017/5/11,64.620003,6.394089,23.313322,93.34922
2017/5/12,64.961998,6.406578,23.220625,91.941948
2017/5/15,63.175999,6.506485,23.220625,92.035767
2017/5/16,63.402,6.456532,23.359671,96.163773
2017/5/17,61.222,6.281693,23.220625,94.756493
2017/5/18,62.612,6.294181,23.591413,95.694687
2017/5/19,62.166,6.206762,23.313322,96.632866
2017/5/22,62.07,6.244227,23.266975,97.571045
2017/5/23,60.771999,null,null,null
2017/5/24,62.043999,6.30667,23.637762,97.101959
2017/5/25,63.366001,6.369112,23.452368,106.483788
2017/5/26,65.028,6.356624,23.313322,116.803802
2017/5/30,67.019997,6.406578,23.452368,118.680168
2017/5/31,68.202003,6.356624,23.359671,117.741982
2017/6/1,68.073997,6.369112,23.174274,117.741982
2017/6/2,67.970001,6.369112,23.174274,114.927437
2017/6/5,69.463997,6.269204,22.80349,111.643791
2017/6/6,70.57,6.256716,22.757139,112.112885
2017/6/7,71.93,6.331646,22.896187,118.211075
2017/6/8,74,6.419066,22.849836,114.927437
2017/6/9,71.463997,6.419066,23.035231,112.58197
2017/6/12,71.802002,6.431554,23.174274,115.865616
2017/6/13,75.190002,6.269204,23.266975,117.272896
2017/6/14,76.132004,6.294181,23.035231,114.927437
2017/6/15,75.068001,6.344135,23.220625,118.680168
2017/6/16,74.279999,6.30667,23.266975,117.272896
2017/6/19,73.959999,6.30667,23.081579,124.778351
2017/6/20,74.447998,6.281693,23.266975,121.49472
2017/6/21,75.279999,6.294181,23.776808,121.02562
2017/6/22,76.522003,6.331646,23.869505,119.618347
2017/6/23,76.690002,6.30667,23.637762,114.458336
2017/6/26,75.498001,6.30667,23.359671,116.334709
2017/6/27,72.473999,6.30667,23.266975,118.680168
2017/6/28,74.248001,6.331646,23.266975,117.272896
2017/6/29,72.150002,6.369112,23.359671,116.334709
2017/6/30,72.321999,6.30667,23.313322,121.963814
2017/7/3,70.524002,6.256716,23.452368,132.283813
2017/7/5,65.417999,6.269204,23.545065,135.098358
2017/7/6,61.765999,6.269204,23.313322,143.542023
2017/7/7,62.644001,6.244227,23.313322,143.072937
2017/7/10,63.209999,6.21925,23.266975,152.923859
2017/7/11,65.444,6.194274,23.313322,158.552948
2017/7/12,65.903999,6.194274,23.409065,160.429321
2017/7/13,64.681999,6.206762,23.456938,155.738403
2017/7/14,65.556,6.156808,23.16971,153.392944
2017/7/17,63.914001,6.231739,23.16971,168.40387
2017/7/18,65.648003,6.194274,22.978224,169.811142
2017/7/19,65.052002,6.194274,23.073965,171.21843
2017/7/20,65.984001,6.14432,22.786737,161.836578
2017/7/21,65.68,6.181785,22.643124,161.836578
2017/7/24,68.503998,6.181785,22.738867,163.243866
2017/7/25,67.919998,6.156808,23.26545,171.21843
2017/7/26,68.769997,6.156808,22.978224,161.836578
2017/7/27,66.891998,6.169297,22.930353,164.182068
2017/7/28,67.014,6.194274,22.786737,167.934799
2017/7/31,64.694,6.156808,22.738867,164.651154
2017/8/1,63.914001,5.944505,22.786737,168.872955
2017/8/2,65.178001,5.981969,22.355898,158.552948
2017/8/3,69.417999,6.044413,22.355898,162.774765
2017/8/4,71.382004,5.994459,22.212284,157.145676
2017/8/7,71.033997,6.119343,22.355898,163.243866
2017/8/8,73.043999,6.106854,23.073965,159.96022
2017/8/9,72.706001,6.181785,23.16971,158.552948
2017/8/10,71.080002,6.031923,23.409065,160.429321
2017/8/11,71.573997,6.094367,23.409065,159.022034
2017/8/14,72.760002,6.019435,23.361195,166.058426
2017/8/15,72.466003,6.006947,23.552681,169.342056
2017/8/16,72.582001,6.056901,23.456938,172.625687
2017/8/17,70.384003,6.119343,23.26545,189.512985
2017/8/18,69.491997,6.731277,23.361195,189.0439
2017/8/21,67.571999,6.781231,23.26545,200.771194
2017/8/22,68.269997,7.305746,23.313322,212.029388
2017/8/23,70.554001,8.030076,23.552681,207.807571
2017/8/24,70.585999,8.829338,23.839907,198.42572
2017/8/25,69.610001,8.929245,24.079264,199.833008
2017/8/28,69.132004,8.741919,24.318619,195.611176
2017/8/29,69.472,8.554592,24.175005,201.709366
2017/8/30,70.636002,7.867727,23.983521,187.636627
2017/8/31,71.18,7.617958,24.175005,194.673004
2017/9/1,71.080002,7.543026,24.318619,191.858459
2017/9/5,69.917999,7.59298,23.839907,192.327545
2017/9/6,68.905998,7.493073,23.648422,190.451187
2017/9/7,70.122002,7.617958,23.60055,187.636627
2017/9/8,68.68,7.44312,23.648422,168.872955
2017/9/11,72.737999,7.493073,23.552681,176.378418
2017/9/12,72.550003,7.430631,23.361195,184.352997
2017/9/13,73.246002,7.343212,23.409065,180.131165
2017/9/14,75.528,7.330723,23.456938,189.512985
2017/9/15,75.961998,7.143396,22.978224,194.203918
2017/9/18,77,7.855238,22.882481,180.600266
2017/9/19,75.019997,7.642934,22.690996,171.6875
2017/9/20,74.781998,7.630446,22.738867,178.254791
2017/9/21,73.295998,7.530538,22.83461,184.822083
2017/9/22,70.218002,8.279846,22.83461,180.600266
2017/9/25,68.998001,8.279846,23.552681,212.498474
2017/9/26,69.050003,8.279846,23.361195,211.560287
2017/9/27,68.194,8.279846,23.696293,212.498474
2017/9/28,67.919998,8.279846,23.504807,212.967575
2017/9/29,68.220001,8.279846,23.504807,211.560287
2017/10/2,68.306,8.279846,23.456938,215.78212
2017/10/3,69.627998,8.279846,23.456938,234.545792
2017/10/4,71.001999,16.484762,23.60055,239.236694
2017/10/5,71.066002,15.298358,23.361195,263.16037
2017/10/6,71.375999,15.485685,23.361195,278.640411
2017/10/9,68.587997,14.861262,23.839907,291.774933
2017/10/10,71.117996,14.361724,23.935648,272.542206
2017/10/11,70.919998,14.673935,23.60055,287.084045
2017/10/12,71.136002,14.736378,23.935648,281.454956
2017/10/13,71.113998,14.673935,26.329214,275.825867
2017/10/16,70.120003,14.736378,26.5207,289.429535
2017/10/17,71.150002,14.424166,26.472828,275.35675
2017/10/18,71.93,14.486609,26.089857,281.924042
2017/10/19,70.362,14.54905,26.137728,281.454956
2017/10/20,69.019997,14.673935,26.568571,282.393158
2017/10/23,67.403999,15.048589,26.807928,276.764038
2017/10/24,67.468002,15.111032,26.807928,266.444
2017/10/25,65.167999,14.986146,26.807928,272.07309
2017/10/26,65.234001,14.861262,26.424957,269.727661
2017/10/27,64.174004,14.611492,27.573866,271.604004
2017/10/30,64.015999,14.54905,26.999414,259.87674
2017/10/31,66.306,14.424166,27.23877,246.273071
2017/11/1,64.216003,14.54905,25.946245,242.051239
2017/11/2,59.852001,14.174397,25.371788,249.087631
2017/11/3,61.217999,14.486609,24.605848,253.309448
