Date,ARKW,ARKG,ARKQ,ARKK,TSLA,3557.TW,8046.TW,3443.TW
2018/9/6,49.686157,30.754061,34.523972,44.692448,56.189999,21.4177,30.708261,277.993042
2018/9/7,49.651272,30.668135,34.292717,44.397919,52.647999,21.10549,29.148476,275.600677
2018/9/10,49.94775,30.499115,34.552872,44.521431,57.099998,21.854797,28.661043,269.858978
2018/9/11,50.340149,31.00901,34.601051,45.062984,55.888,21.542585,29.294704,259.332581
2018/9/12,50.645351,31.075106,34.755219,45.205502,58.108002,21.729912,29.343451,268.423584
2018/9/13,50.845905,31.462244,35.102097,45.547535,57.891998,21.979683,29.245964,257.418701
2018/9/14,51.011585,31.79273,35.2659,45.832561,59.040001,22.354334,30.0746,253.590912
2018/9/17,49.616398,31.301723,34.745586,44.920467,58.967999,22.229452,28.953503,257.418701
2018/9/18,49.747196,32.142105,34.830376,45.737549,56.992001,21.979683,28.076122,232.059601
2018/9/19,49.973911,31.622768,35.17918,45.709049,59.804001,21.480143,26.126392,230.624191
2018/9/20,50.235512,31.783285,35.516422,45.918072,59.666,21.480143,25.931421,216.269974
2018/9/21,49.738476,30.886253,35.285172,44.806461,59.82,20.605951,23.348026,194.738663
2018/9/24,49.895432,31.084547,35.121368,44.967976,59.936001,20.918163,23.640488,192.346313
2018/9/25,50.322708,31.424475,35.22736,45.386013,60.198002,21.230373,23.299284,202.394241
2018/9/26,50.383751,31.268677,35.236996,45.424019,61.916,21.230373,24.12792,210.528305
2018/9/27,50.767426,31.717194,35.323715,45.804058,61.504002,21.480143,23.737974,215.313019
2018/9/28,50.218071,31.566113,34.707043,44.977478,52.953999,21.230373,23.981691,199.044937
2018/10/1,50.61919,30.791832,35.22736,45.043983,62.139999,21.167933,23.884203,205.743561
2018/10/2,49.799515,29.989223,34.583706,43.884869,60.203999,21.10549,24.859068,205.265091
2018/10/3,49.921593,30.178072,34.697403,43.970375,58.959999,21.167933,25.3465,193.303268
